"","x"
"1"," Azerbaijan"
"2","('St. Martin',)"
"3","Afghanistan"
"4","Albania"
"5","Algeria"
"6","Andorra"
"7","Angola"
"8","Antigua and Barbuda"
"9","Argentina"
"10","Armenia"
"11","Aruba"
"12","Australia"
"13","Austria"
"14","Azerbaijan"
"15","Bahamas"
"16","Bahamas, The"
"17","Bahrain"
"18","Bangladesh"
"19","Barbados"
"20","Belarus"
"21","Belgium"
"22","Belize"
"23","Benin"
"24","Bhutan"
"25","Bolivia"
"26","Bosnia and Herzegovina"
"27","Brazil"
"28","Brunei"
"29","Bulgaria"
"30","Burkina Faso"
"31","Cabo Verde"
"32","Cambodia"
"33","Cameroon"
"34","Canada"
"35","Cape Verde"
"36","Cayman Islands"
"37","Central African Republic"
"38","Chad"
"39","Channel Islands"
"40","Chile"
"41","Colombia"
"42","Congo (Brazzaville)"
"43","Congo (Kinshasa)"
"44","Costa Rica"
"45","Croatia"
"46","Cuba"
"47","Curacao"
"48","Cyprus"
"49","Czech Republic"
"50","Denmark"
"51","Djibouti"
"52","Dominica"
"53","Dominican Republic"
"54","East Timor"
"55","Ecuador"
"56","Egypt"
"57","El Salvador"
"58","Equatorial Guinea"
"59","Eritrea"
"60","Estonia"
"61","Eswatini"
"62","Ethiopia"
"63","Faroe Islands"
"64","Fiji"
"65","Finland"
"66","France"
"67","French Guiana"
"68","Gabon"
"69","Gambia"
"70","Gambia, The"
"71","Georgia"
"72","Germany"
"73","Ghana"
"74","Gibraltar"
"75","Greece"
"76","Greenland"
"77","Grenada"
"78","Guadeloupe"
"79","Guam"
"80","Guatemala"
"81","Guernsey"
"82","Guinea"
"83","Guyana"
"84","Haiti"
"85","Holy See"
"86","Honduras"
"87","Hong Kong"
"88","Hungary"
"89","Iceland"
"90","India"
"91","Indonesia"
"92","Iran"
"93","Iraq"
"94","Ireland"
"95","Israel"
"96","Italy"
"97","Ivory Coast"
"98","Jamaica"
"99","Japan"
"100","Jersey"
"101","Jordan"
"102","Kazakhstan"
"103","Kenya"
"104","Kosovo"
"105","Kuwait"
"106","Kyrgyzstan"
"107","Latvia"
"108","Lebanon"
"109","Liberia"
"110","Liechtenstein"
"111","Lithuania"
"112","Luxembourg"
"113","Madagascar"
"114","Mainland China"
"115","Malaysia"
"116","Maldives"
"117","Malta"
"118","Martinique"
"119","Mauritania"
"120","Mauritius"
"121","Mayotte"
"122","Mexico"
"123","Moldova"
"124","Monaco"
"125","Mongolia"
"126","Montenegro"
"127","Morocco"
"128","Mozambique"
"129","Namibia"
"130","Nepal"
"131","Netherlands"
"132","New Zealand"
"133","Nicaragua"
"134","Niger"
"135","Nigeria"
"136","North Ireland"
"137","North Macedonia"
"138","Norway"
"139","occupied Palestinian territory"
"140","Oman"
"141","Others"
"142","Pakistan"
"143","Palestine"
"144","Panama"
"145","Papua New Guinea"
"146","Paraguay"
"147","Peru"
"148","Philippines"
"149","Poland"
"150","Portugal"
"151","Puerto Rico"
"152","Qatar"
"153","Republic of Ireland"
"154","Republic of the Congo"
"155","Reunion"
"156","Romania"
"157","Russia"
"158","Rwanda"
"159","Saint Barthelemy"
"160","Saint Lucia"
"161","Saint Vincent and the Grenadines"
"162","San Marino"
"163","Saudi Arabia"
"164","Senegal"
"165","Serbia"
"166","Seychelles"
"167","Singapore"
"168","Slovakia"
"169","Slovenia"
"170","Somalia"
"171","South Africa"
"172","South Korea"
"173","Spain"
"174","Sri Lanka"
"175","St. Martin"
"176","Sudan"
"177","Suriname"
"178","Sweden"
"179","Switzerland"
"180","Syria"
"181","Taiwan"
"182","Tanzania"
"183","Thailand"
"184","The Bahamas"
"185","The Gambia"
"186","Timor-Leste"
"187","Togo"
"188","Trinidad and Tobago"
"189","Tunisia"
"190","Turkey"
"191","Uganda"
"192","UK"
"193","Ukraine"
"194","United Arab Emirates"
"195","Uruguay"
"196","US"
"197","Uzbekistan"
"198","Vatican City"
"199","Venezuela"
"200","Vietnam"
"201","Zambia"
"202","Zimbabwe"
