Country.Region,WB.Country.Region
 Azerbaijan,Azerbaijan
"('St. Martin',)",St. Martin (French part)
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,"Bahamas, The"
"Bahamas, The","Bahamas, The"
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Brunei,Brunei Darussalam
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Cabo Verde,Cabo Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Chad,Chad
Channel Islands,Channel Islands
Chile,Chile
Colombia,Colombia
Congo (Brazzaville),"Congo, Dem. Rep."
Congo (Kinshasa),"Congo, Rep."
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Curacao,Curacao
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
East Timor,
Ecuador,Ecuador
Egypt,"Egypt, Arab Rep."
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Faroe Islands,Faroe Islands
Fiji,Fiji
Finland,Finland
France,France
French Guiana,
Gabon,Gabon
Gambia,"Gambia, The"
"Gambia, The","Gambia, The"
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,
Guam,Guam
Guatemala,Guatemala
Guernsey,
Guinea,Guinea
Guyana,Guyana
Haiti,Haiti
Holy See,
Honduras,Honduras
Hong Kong,"Hong Kong SAR, China"
Hungary,IBRD only
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,"Iran, Islamic Rep."
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Ivory Coast,Cote d'Ivoire
Jamaica,Jamaica
Japan,Japan
Jersey,
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyz Republic
Latvia,Latvia
Lebanon,Lebanon
Liberia,Liberia
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Mainland China,China
Malaysia,Malaysia
Maldives,Maldives
Malta,Malta
Martinique,
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,
Mexico,Mexico
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
North Ireland,
North Macedonia,North Macedonia
Norway,Norway
occupied Palestinian territory,
Oman,Oman
Others,
Pakistan,Pakistan
Palestine,
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Republic of Ireland,Ireland
Republic of the Congo,"Congo, Rep."
Reunion,
Romania,Romania
Russia,Russian Federation
Rwanda,Rwanda
Saint Barthelemy,
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent and the Grenadines
San Marino,
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Singapore,Singapore
Slovakia,Slovak Republic
Slovenia,Slovenia
Somalia,Somalia
South Africa,South Africa
South Korea,"Korea, Rep."
Spain,Spain
Sri Lanka,Sri Lanka
St. Martin,St. Martin (French part)
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syria,Syrian Arab Republic
Taiwan,
Tanzania,Tanzania
Thailand,Thailand
The Bahamas,"Bahamas, The"
The Gambia,"Gambia, The"
Timor-Leste,Timor-Leste
Togo,Togo
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Uganda,Uganda
UK,United Kingdom
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
Uruguay,Uruguay
US,United States
Uzbekistan,Uzbekistan
Vatican City,
Venezuela,"Venezuela, RB"
Vietnam,Vietnam
Zambia,Zambia
Zimbabwe,Zimbabwe
